116, A model for handling approximate; noisy or incomplete labeling in text classification., 2005, Ganesh Ramakrishnan & Krishna Prasad Chitrapura & Raghu Krishnapuram & Pushpak Bhattacharyya, conf/icml/RamakrishnanCKB05, https://doi.org/10.1145/1102351.1102437
117, Learning hierarchical multi-category text classification models., 2005, Juho Rousu & Craig Saunders & Sándor Szedmák & John Shawe-Taylor, conf/icml/RousuSSS05, https://doi.org/10.1145/1102351.1102445
118, A mixture-of-experts framework for text classification., 2001, Andrew Estabrooks & Nathalie Japkowicz, conf/conll/EstabrooksJ01, https://aclanthology.org/W01-0709/
119, Learning cascaded latent variable models for biomedical text classification., 2016, Ming Liu 0028 & Gholamreza Haffari & Wray L. Buntine, conf/acl-alta/LiuHB16, https://aclanthology.org/U16-1014/
120, Detection of child exploiting chats from a mixed chat dataset as a text classification task., 2011, Md. Waliur Rahman Miah & John Yearwood & Siddhivinayak Kulkarni, conf/acl-alta/MiahYK11, https://aclanthology.org/U11-1020/
121, Using learned extraction patterns for text classification., 1995, Ellen Riloff, conf/ijcai/Riloff95, https://doi.org/10.1007/3-540-60925-3_53
122, Towards speech-to-text translation without speech recognition., 2017, Sameer Bansal & Herman Kamper & Adam Lopez & Sharon Goldwater, conf/eacl/GoldwaterLBK17, https://doi.org/10.18653/v1/e17-2076
123, A minimum classification error (MCE) framework for generalized linear classifier in machine learning for text categorization/retrieval., 2004, Wu Chou & Li Li 0001, conf/icmla/ChouL04, https://doi.org/10.1109/ICMLA.2004.1383490
124, Boosting inductive transfer for text classification using wikipedia., 2007, Somnath Banerjee, conf/icmla/Banerjee07, https://doi.org/10.1109/ICMLA.2007.39
125, Combining active learning and relevance vector machines for text classification., 2007, Catarina Silva 0001 & Bernardete Ribeiro, conf/icmla/SilvaR07, https://doi.org/10.1109/ICMLA.2007.72
126, Geographical feature classification from text using (active) convolutional neural networks., 2020, Liping Yang & Alan M. MacEachren & Prasenjit Mitra, conf/icmla/YangMM20, https://doi.org/10.1109/ICMLA51294.2020.00188
127, Constructing contrastive samples via summarization for text classification with limited annotations., 2021, Yangkai Du & Tengfei Ma 0001 & Lingfei Wu & Fangli Xu & Xuhong Zhang 0005 & Bo Long & Shouling Ji, conf/emnlp/Du0WX0LJ21, https://doi.org/10.18653/v1/2021.findings-emnlp.118
128, Identifying spurious correlations for robust text classification., 2020, Zhao Wang & Aron Culotta, conf/emnlp/WangC20, https://doi.org/10.18653/v1/2020.findings-emnlp.308
129, Automatic recognition of abdominal lymph nodes from clinical text., 2020, Yifan Peng & Sungwon Lee & Daniel C. Elton & Thomas C. Shen & Yuxing Tang & Qingyu Chen 0001 & Shuai Wang & Yingying Zhu 0003 & Ronald M. Summers & Zhiyong Lu, conf/acl-clinicalnlp/PengLESTCWZSL20, https://doi.org/10.18653/v1/2020.clinicalnlp-1.12
130, Feature selection methods for text classification: a systematic literature review., 2021, Julliano Trindade Pintas & Leandro A. F. Fernandes & Ana Cristina Bicharra Garcia, journals/air/PintasFG21, https://doi.org/10.1007/s10462-021-09970-6
131, Ancient text recognition: a review., 2020, Sonika Rani Narang & Manish Kumar Jindal & Munish Kumar, journals/air/NarangJK20, https://doi.org/10.1007/s10462-020-09827-4
132, Survey on supervised machine learning techniques for automatic text classification., 2019, Ammar Ismael Kadhim, journals/air/Kadhim19, https://doi.org/10.1007/s10462-018-09677-1
133, Low-resource text classification using domain-adversarial learning., 2020, Daniel Grießhaber & Ngoc Thang Vu & Johannes Maucher, journals/csl/GriesshaberVM20, https://doi.org/10.1016/j.csl.2019.101056
134, Context-dependent connectionist probability estimation in a hybrid hidden Markov model-neural net speech recognition system., 1994, Horacio Franco & Michael Cohen & Nelson Morgan & David E. Rumelhart & Victor Abrash, journals/csl/FrancoCMRA94, https://doi.org/10.1006/csla.1994.1010
135, Attention-based BiLSTM fused CNN with gating mechanism model for Chinese long text classification., 2021, Jianfeng Deng & Lianglun Cheng & Zhuowei Wang 0001, journals/csl/DengCW21, https://doi.org/10.1016/j.csl.2020.101182
136, Incorporating pass-phrase dependent background models for text-dependent speaker verification., 2018, Achintya Kumar Sarkar & Zheng-Hua Tan, journals/csl/SarkarT18, https://doi.org/10.1016/j.csl.2017.07.010
137, Self-segmentation of pass-phrase utterances for deep feature learning in text-dependent speaker verification., 2021, Achintya Kumar Sarkar & Zheng-Hua Tan, journals/csl/SarkarT21, https://doi.org/10.1016/j.csl.2021.101229
138, Automatic orthographic error tagging and classification for German texts., 2018, Kay Berkling & Rémi Lavalley, journals/csl/BerklingL18, https://doi.org/10.1016/j.csl.2017.11.002
139, Optimization of the area under the ROC curve using neural network supervectors for text-dependent speaker verification., 2020, Victoria Mingote & Antonio Miguel & Alfonso Ortega 0001 & Eduardo Lleida, journals/csl/MingoteMOL20, https://doi.org/10.1016/j.csl.2020.101078
140, A PLDA approach for language and text independent speaker recognition., 2017, Abbas Khosravani & Mohammad Mehdi Homayounpour, journals/csl/KhosravaniH17, https://doi.org/10.1016/j.csl.2017.04.003
141, End-to-end DNN based text-independent speaker recognition for long and short utterances., 2020, Johan Rohdin & Anna Silnova & Mireia Díez & Oldrich Plchot & Pavel Matejka & Lukás Burget & Ondrej Glembek, journals/csl/RohdinSDPMBG20, https://doi.org/10.1016/j.csl.2019.06.002
